"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31038","Upload files for non-input element and assert","webkit","Sat Jan 04 19:51:10 IST 2025","broken","Sat Jan 04 19:51:41 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","16340","Validate page title and URL","firefox","Sat Jan 04 19:46:31 IST 2025","failed","Sat Jan 04 19:46:47 IST 2025","","HomeTest.spec.js","",""
"","5011","Handling JS Confirm - Validate Confirm Text and Click Cancel","chromium","Sat Jan 04 19:42:34 IST 2025","passed","Sat Jan 04 19:42:39 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","10346","Upload Multiple files and assert","webkit","Sat Jan 04 19:50:47 IST 2025","passed","Sat Jan 04 19:50:58 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","3394","Count the total number of images and assert","chromium","Sat Jan 04 19:42:11 IST 2025","failed","Sat Jan 04 19:42:15 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","3010","Validate page title and URL","chromium","Sat Jan 04 19:41:56 IST 2025","failed","Sat Jan 04 19:41:59 IST 2025","","HomeTest.spec.js","",""
"","7835","Placeholder Test","webkit","Sat Jan 04 19:52:33 IST 2025","passed","Sat Jan 04 19:52:41 IST 2025","","LocatorsBuildIn.spec.js","",""
"","5309","Extract innerText and assert","webkit","Sat Jan 04 19:51:44 IST 2025","passed","Sat Jan 04 19:51:50 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","6067","AltText Test","firefox","Sat Jan 04 19:47:50 IST 2025","passed","Sat Jan 04 19:47:56 IST 2025","","LocatorsBuildIn.spec.js","",""
"","5790","Capture screenshot of the visible window","webkit","Sat Jan 04 19:53:15 IST 2025","passed","Sat Jan 04 19:53:21 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","6539","Handling JS Confirm - Validate Confirm Text and Click Cancel","firefox","Sat Jan 04 19:43:48 IST 2025","passed","Sat Jan 04 19:43:54 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","8018","Nested iframe - Assert texts from each iframes","webkit","Sat Jan 04 19:49:53 IST 2025","passed","Sat Jan 04 19:50:01 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","16002","Validate page title and URL","firefox","Sat Jan 04 19:46:33 IST 2025","passed","Sat Jan 04 19:46:49 IST 2025","","HomeTest1.spec.js","",""
"","6648","Handling JS Alert - Validate Alert Text and Click OK","firefox","Sat Jan 04 19:44:00 IST 2025","passed","Sat Jan 04 19:44:06 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5311","Extract innerText and assert","firefox","Sat Jan 04 19:46:54 IST 2025","passed","Sat Jan 04 19:46:59 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","8511","Placeholder Test","firefox","Sat Jan 04 19:47:54 IST 2025","passed","Sat Jan 04 19:48:03 IST 2025","","LocatorsBuildIn.spec.js","",""
"","18462","Download a Single file and assert","webkit","Sat Jan 04 19:50:12 IST 2025","passed","Sat Jan 04 19:50:30 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","7609","has title","firefox","Sat Jan 04 19:44:58 IST 2025","passed","Sat Jan 04 19:45:06 IST 2025","","example.spec.js","",""
